epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3796,1.52372,2.94808,1.39831,0.00556,1,0.33086,0.19727,1.40776,2.95736,1.44182,0.00081,0.00081,0.07381
2,17.246,1.51598,2.17825,1.42876,0.59498,0.55556,0.53734,0.19573,2.1154,2.38444,1.97957,0.00164937,0.00164937,0.0466494
3,24.6876,1.5094,2.08166,1.48285,0.332,0.61667,0.51766,0.26747,1.71611,2.18011,1.82738,0.0024862,0.0024862,0.0194862
4,31.307,1.48454,1.9664,1.45413,0.337,0.82747,0.49273,0.24602,1.69732,2.74168,1.63933,0.00298971,0.00298971,0.00298971
5,38.7973,1.48507,1.87693,1.42616,0.46913,0.83333,0.69898,0.34444,1.61991,1.92498,1.62934,0.00298172,0.00298172,0.00298172
6,46.8019,1.49586,1.86469,1.47654,0.50874,1,0.69553,0.38944,1.46871,1.88698,1.5677,0.00297147,0.00297147,0.00297147
7,54.2014,1.39503,1.77301,1.42004,0.50066,0.72274,0.74465,0.43869,1.45667,1.63994,1.56248,0.00295897,0.00295897,0.00295897
8,61.761,1.45621,1.74971,1.41598,0.75503,0.51137,0.76032,0.31513,1.6419,2.79849,1.70947,0.00294425,0.00294425,0.00294425
9,68.8568,1.39912,1.66727,1.37132,0.67969,0.80618,0.74991,0.39622,1.52056,2.2166,1.55468,0.00292732,0.00292732,0.00292732
10,76.8465,1.39029,1.60763,1.40692,0.63654,1,0.74759,0.40084,1.56136,1.54465,1.61455,0.00290821,0.00290821,0.00290821
11,84.406,1.39985,1.55175,1.40577,0.6613,0.89552,0.8137,0.41994,1.44189,1.65927,1.49436,0.00288696,0.00288696,0.00288696
12,91.6601,1.40351,1.5657,1.41335,0.62776,0.86667,0.79727,0.46613,1.5107,1.63538,1.57985,0.00286359,0.00286359,0.00286359
13,99.9254,1.39631,1.44061,1.39258,0.50981,0.76352,0.50976,0.30359,1.41584,12.0246,1.46162,0.00283814,0.00283814,0.00283814
14,109.144,1.32371,1.45835,1.3298,0.95932,0.77954,0.97595,0.58331,1.35532,1.36999,1.3871,0.00281066,0.00281066,0.00281066
15,118.895,1.36504,1.34978,1.36846,0.73842,0.96502,0.84759,0.45662,1.52584,1.31278,1.48337,0.00278117,0.00278117,0.00278117
16,129.088,1.42752,1.37777,1.39063,0.85929,0.93796,0.95611,0.49563,1.5551,1.03112,1.53124,0.00274973,0.00274973,0.00274973
17,139.549,1.33764,1.26877,1.35296,0.84132,1,0.97278,0.51189,1.53597,1.07389,1.52462,0.00271639,0.00271639,0.00271639
18,148.305,1.26736,1.22525,1.29248,0.84339,0.86667,0.93461,0.48475,1.55355,1.32046,1.55435,0.0026812,0.0026812,0.0026812
19,158.561,1.38649,1.21492,1.34891,0.61488,0.88792,0.88429,0.43404,1.53449,1.50977,1.49123,0.0026442,0.0026442,0.0026442
20,167.529,1.35115,1.20427,1.3331,0.78108,0.46581,0.59114,0.27432,1.73551,2.09823,1.69448,0.00260547,0.00260547,0.00260547
21,175.483,1.39244,1.19275,1.36178,0.96882,0.90623,0.95397,0.51785,1.44612,0.99015,1.45362,0.00256505,0.00256505,0.00256505
22,183.068,1.36193,1.16732,1.35224,0.89094,0.89887,0.9325,0.54345,1.43675,1.33825,1.40461,0.00252302,0.00252302,0.00252302
23,190.34,1.31479,1.12744,1.29808,0.95532,0.75556,0.92917,0.54591,1.43777,1.0491,1.41841,0.00247943,0.00247943,0.00247943
24,198.574,1.28334,1.17118,1.31456,0.83882,0.86667,0.90241,0.50477,1.50289,1.20921,1.4884,0.00243435,0.00243435,0.00243435
25,205.644,1.30658,1.18499,1.33283,0.85821,0.85081,0.94315,0.51322,1.40499,1.05367,1.48557,0.00238786,0.00238786,0.00238786
26,213.132,1.30841,1.09451,1.33559,0.8991,0.86667,0.9453,0.55495,1.44285,1.00819,1.48629,0.00234002,0.00234002,0.00234002
27,220.47,1.28473,1.03466,1.31312,0.84206,1,0.995,0.55468,1.50221,0.97103,1.5349,0.00229091,0.00229091,0.00229091
28,228.761,1.30595,1.08289,1.3093,0.91516,0.99411,0.995,0.5602,1.48698,0.9361,1.52928,0.0022406,0.0022406,0.0022406
29,237.863,1.32861,1.06775,1.31829,0.95611,0.99863,0.995,0.62381,1.39316,0.80732,1.40084,0.00218918,0.00218918,0.00218918
30,245.068,1.28325,1.11593,1.30048,0.95388,0.99534,0.995,0.60701,1.42713,0.78547,1.4407,0.00213671,0.00213671,0.00213671
31,252.854,1.23909,1.04878,1.25805,0.93304,0.99049,0.995,0.611,1.48957,0.81313,1.46311,0.00208328,0.00208328,0.00208328
32,259.567,1.24564,1.03046,1.304,0.95157,0.99406,0.995,0.54851,1.55363,0.99854,1.56823,0.00202898,0.00202898,0.00202898
33,265.837,1.27739,1.05892,1.33887,0.91128,0.96716,0.995,0.54993,1.60914,0.8905,1.59372,0.00197389,0.00197389,0.00197389
34,271.603,1.28176,1.03411,1.29765,0.71644,0.93269,0.94528,0.50407,1.61796,1.03436,1.58742,0.00191809,0.00191809,0.00191809
35,278.846,1.29717,1.04724,1.26701,0.89842,0.87705,0.97,0.52911,1.45573,1.05179,1.42654,0.00186167,0.00186167,0.00186167
36,286.056,1.28283,1.05874,1.29,0.94404,0.87458,0.96537,0.53742,1.48453,1.04474,1.4309,0.00180471,0.00180471,0.00180471
37,293.792,1.22928,1.02288,1.2748,0.9574,0.90978,0.97,0.59615,1.4155,0.87298,1.41542,0.00174731,0.00174731,0.00174731
38,301.537,1.2378,1.00601,1.26992,0.8975,1,0.995,0.55642,1.4968,0.81808,1.45573,0.00168954,0.00168954,0.00168954
39,307.452,1.21084,0.99419,1.26439,0.87165,0.96203,0.97278,0.52044,1.51681,0.97794,1.49248,0.00163151,0.00163151,0.00163151
40,315.287,1.22566,0.94429,1.24493,0.85869,1,0.995,0.53372,1.4629,0.93644,1.43304,0.0015733,0.0015733,0.0015733
41,322.049,1.20246,0.99515,1.26375,0.83894,0.90596,0.97595,0.55162,1.41755,0.96028,1.39856,0.001515,0.001515,0.001515
42,328.415,1.2626,1.04908,1.28513,0.92968,0.90756,0.97,0.54744,1.40536,0.85834,1.39817,0.0014567,0.0014567,0.0014567
43,335.189,1.18556,0.96072,1.22498,0.82177,0.86667,0.87644,0.50922,1.48215,1.27588,1.45274,0.00139849,0.00139849,0.00139849
44,342.653,1.18339,0.97019,1.28114,0.80905,0.91042,0.89533,0.53558,1.43182,1.08299,1.39444,0.00134046,0.00134046,0.00134046
45,349.704,1.24952,1.00026,1.25148,0.87697,1,0.97278,0.55921,1.53041,0.7978,1.46812,0.00128269,0.00128269,0.00128269
46,357.009,1.22307,0.98062,1.27134,0.92622,0.98402,0.995,0.55044,1.53396,0.89998,1.57983,0.00122529,0.00122529,0.00122529
47,364.151,1.1874,0.90808,1.26497,0.93416,1,0.995,0.58792,1.46956,0.7872,1.48606,0.00116833,0.00116833,0.00116833
48,371.813,1.19424,0.87543,1.22873,0.91363,1,0.995,0.59259,1.42724,0.7147,1.45992,0.00111191,0.00111191,0.00111191
49,380.005,1.17024,0.9291,1.23336,0.91028,0.99994,0.995,0.5993,1.40917,0.72919,1.45424,0.00105611,0.00105611,0.00105611
